poi_id,poi_name,poi_geometry,poi_lat,poi_lng,poi_cate,is_area,parent_poi_id,frame_n_total,is_focal
196.0,EPARK COFFEE,POINT (114.1672809 22.3235405),22.3235405,114.1672809,dining,0,,2,0
197.0,East Coast Park Precinct,POINT (114.1895168 22.2881124),22.2881124,114.1895168,city,0,,17,0
198.0,East Tsim Sha Tsui,POINT (114.174586 22.295263),22.295263,114.174586,transit,0,,45,0
199.0,Eaton HK,POINT (114.1717101 22.3080409),22.3080409,114.1717101,hotel,0,,32,0
200.0,Electric Rd,POINT (114.1919868 22.287465),22.287465,114.1919868,city,0,,2,0
201.0,Elegant Tang Dynasty,POINT (114.149742 22.271213),22.271213,114.149742,shopping,0,,1,0
202.0,Elephant Grounds,POINT (114.174534 22.29414),22.29414,114.174534,dining,0,,13,0
203.0,Enchanted Garden Restaurant,POINT (114.044269 22.308028),22.308028,114.044269,dining,0,,8,0
204.0,Entertainment Building,POINT (114.1564406 22.2814411),22.2814411,114.1564406,shopping,0,,11,0
205.0,Exchange Square,POINT (114.1579096 22.2842031),22.2842031,114.1579096,city,0,,4,0
206.0,Explorer's Club Restaurant,POINT (114.0404644 22.3100051),22.3100051,114.0404644,dining,0,,9,0
207.0,Eyebar,POINT (114.1718269 22.2971751),22.2971751,114.1718269,dining,0,,5,0
208.0,FINEPRINT,POINT (114.1527794 22.2826808),22.2826808,114.1527794,dining,0,,8,0
209.0,Fa Yuen St,POINT (114.1708026 22.3210526),22.3210526,114.1708026,city,0,,13,0
210.0,Fa Yuen Street Market,POINT (114.1707177 22.3217369),22.3217369,114.1707177,shopping,0,,8,0
211.0,Fantasyland,POINT (114.0403712 22.3126793),22.3126793,114.0403712,entertainment,0,,17,0
212.0,Fantasyland Station,POINT (114.0397224 22.3124104),22.3124104,114.0397224,transit,0,,1,0
213.0,Fashion Walk,POINT (114.1852378 22.280815),22.280815,114.1852378,shopping,0,,15,0
214.0,Fat Boy Shop,POINT (114.1740092 22.2994169),22.2994169,114.1740092,dining,0,,10,0
215.0,Felix,POINT (114.171875 22.2952306),22.2952306,114.171875,dining,0,,3,0
216.0,Flat Iron Steak,POINT (114.1506157 22.2846688),22.2846688,114.1506157,dining,0,,1,0
217.0,Fleming Rd,POINT (114.1745837 22.2794642),22.2794642,114.1745837,city,0,,2,0
218.0,Fo Tan,POINT (114.1929428 22.3985709),22.3985709,114.1929428,area,0,,7,0
219.0,Fook Moon Lam Restaurant,POINT (113.8619618 22.2545348),22.2545348,113.8619618,dining,0,,1,0
221.0,Fook Yuen,POINT (114.1937731 22.2890364),22.2890364,114.1937731,dining,0,,16,0
222.0,For Kee Restaurant,POINT (114.1478788 22.2851885),22.2851885,114.1478788,dining,0,,3,0
223.0,Forbidden Duck,POINT (114.1817617 22.2782295),22.2782295,114.1817617,dining,0,,3,0
224.0,Fortnum & Mason,POINT (114.1757816 22.2943849),22.2943849,114.1757816,dining,0,,21,0
225.0,Fortress Hill,POINT (114.194839 22.2879159),22.2879159,114.194839,area,0,,30,0
226.0,Fortune Foot Massage,POINT (114.153175 22.2807004),22.2807004,114.153175,entertainment,0,,2,0
227.0,Fringe Club,POINT (114.1557172 22.2802398),22.2802398,114.1557172,cultural,0,,6,0
228.0,Frozen Ever After,POINT (114.0388584 22.3120797),22.3120797,114.0388584,entertainment,0,,153,1
229.0,Frozen Village,POINT (114.0432395 22.3110614),22.3110614,114.0432395,entertainment,0,,8,0
