poi_id,poi_name,poi_cate,journey_n_total,stop_n_total,avg_stop_sentiment,frame_n_total,is_focal,top_market,top_inbound_poi_id,top_inbound_poi_name,top_outbound_poi_id,top_outbound_poi_name,top_companion_poi_id,top_companion_poi_name,city_sentiment_rank,category_sentiment_rank
863.0,The Mira,Hotel,20,20,0.6829676723573357,24,0,TH,300.0,Hong Kong International Airport,145.0,Chungking Mansions,300.0,Hong Kong International Airport,,
35.0,Austin Station,Transit,19,20,0.1497109504416585,24,0,TH,975.0,West Kowloon,300.0,Hong Kong International Airport,975.0,West Kowloon,,
411.0,Kowloon Station,Transit,19,20,0.5656051440164447,24,0,TH,300.0,Hong Kong International Airport,33.0,AsiaWorld-Expo,300.0,Hong Kong International Airport,,
481.0,Lugard Rd,Cityscape,19,20,0.6924379089847207,24,0,MM,946.0,Victoria Peak,946.0,Victoria Peak,946.0,Victoria Peak,,
698.0,Sha Tin Racecourse,Entertainment,18,19,0.7657756275383004,24,0,TW,598.0,Ocean Park,270.0,Happy Valley Racecourse,296.0,Hong Kong Disneyland,,
260.0,Haiphong Rd,Cityscape,14,16,0.4507981982314959,24,0,VN,597.0,Ocean Pacific,451.0,Lantau Island,451.0,Lantau Island,,
893.0,To Kwa Wan,area,14,15,0.690244181205829,24,0,TH,426.0,Kwun Tong,96.0,Causeway Bay,907.0,Tsim Sha Tsui,,
249.0,Grand Hyatt,Hotel,20,20,0.6937504988784592,23,0,PH,300.0,Hong Kong International Airport,69.0,British Consulate General,154.0,Conrad Hong Kong,,
279.0,Hau Fook St,Cityscape,20,20,0.7334614567458629,23,0,TH,278.0,Hashtag B,92.0,Carnarvon Rd,278.0,Hashtag B,,
284.0,Hennessy Rd,Cityscape,18,20,0.54724811060975,23,0,TW,96.0,Causeway Bay,51.0,Bee Cheng Hiang,101.0,Central,,
319.0,Hong Kong Traditional Food,Dining,18,18,0.6049588424050145,23,0,TH,907.0,Tsim Sha Tsui,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,,
159.0,Crystal Lotus,Dining,15,15,0.867839238444964,23,0,JP,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,,
576.0,New Town Plaza,Shopping,14,15,0.537765788866414,23,0,PH,300.0,Hong Kong International Airport,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,,
1021.0,Yee Shun Milk Company,Dining,14,14,0.6045392370294956,23,0,SG,46.0,Bakehouse (Wan Chai),96.0,Causeway Bay,446.0,Lan Fong Yuen,,
602.0,Oi Man Sang,Dining,12,12,0.7910957610622669,23,0,SG,36.0,Australia Dairy Company,296.0,Hong Kong Disneyland,36.0,Australia Dairy Company,,
713.0,Shek O Beach,Natural,8,8,0.6915758519687436,23,0,SG,708.0,Shau Kei Wan,189.0,Dragon's Back,189.0,Dragon's Back,,
904.0,Tseung Kwan O,area,6,6,0.3565260987961665,23,0,US,300.0,Hong Kong International Airport,46.0,Bakehouse (Wan Chai),46.0,Bakehouse (Wan Chai),,
859.0,The Iron Fairies,Dining,5,5,0.638230691368089,23,0,TW,101.0,Central,101.0,Central,101.0,Central,,
922.0,Tsz Wan Shan,area,22,22,0.7677523798563264,22,0,TH,451.0,Lantau Island,995.0,Wong Tai Sin Temple,815.0,Tai Po,,
695.0,Sha Tin,area,20,20,0.47543239034712315,22,0,PH,46.0,Bakehouse (Wan Chai),698.0,Sha Tin Racecourse,296.0,Hong Kong Disneyland,,
353.0,Jardine's Lookout,Outdoor,19,20,0.5806989755481482,22,0,TW,944.0,Victoria Harbour,803.0,Tai Mo Shan,944.0,Victoria Harbour,,
636.0,Prince Edward Station,Transit,19,20,0.39942092429846526,22,0,ID,4.0,2 Café,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,,
870.0,The Peak Lookout,Dining,16,17,0.840208640869926,22,0,PH,946.0,Victoria Peak,946.0,Victoria Peak,946.0,Victoria Peak,,
135.0,Chiu Fat Porridge Noodle Restaurant,Dining,15,15,0.7444345063633389,22,0,TH,46.0,Bakehouse (Wan Chai),46.0,Bakehouse (Wan Chai),46.0,Bakehouse (Wan Chai),,
525.0,Mido Café,Dining,15,16,0.5782021379563957,22,0,KR,145.0,Chungking Mansions,812.0,Tai On Coffee & Tea Shop,300.0,Hong Kong International Airport,,
90.0,Carbone,Dining,11,11,0.8311491939154538,22,0,AU,60.0,Blue Bottle Coffee,288.0,Ho Lee Fook,944.0,Victoria Harbour,,
861.0,The Langham,Hotel,10,13,0.8340978362621405,22,0,ID,155.0,Cordis,155.0,Cordis,155.0,Cordis,,
16.0,Admiralty Station,Transit,20,20,0.2930652773939073,21,0,ID,101.0,Central,300.0,Hong Kong International Airport,101.0,Central,,
77.0,Cable Car Discovery Centre,Cultural,20,20,0.6892144568264484,21,0,PH,629.0,Po Lin Monastery,451.0,Lantau Island,451.0,Lantau Island,,
524.0,Middle Rd,Cityscape,20,20,0.38421783577650787,21,0,PH,874.0,The Peninsula,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,,
