video_date,video_n,journey_n,avg_journey_sentiment,avg_journey_sentiment_frame,avg_stops_per_journey,total_stop_n,unique_poi_n,avg_stop_sentiment,total_edge_n
2024-12-13,99,99,0.8165441982861048,0.8196151717656139,1.6161616161616161,160,59,0.8170290428972493,61
2024-12-14,99,99,0.814526031366187,0.8187442191957824,2.1515151515151514,213,61,0.8068692128805613,114
2024-12-15,96,96,0.7976294427637941,0.7990213423661224,1.7604166666666667,169,53,0.7868179959113344,73
2024-12-16,106,106,0.8140049368675818,0.8225980735990911,2.2358490566037736,237,71,0.7588245742145583,131
2024-12-17,114,114,0.8283949330450905,0.8318049783015138,2.0789473684210527,237,70,0.8121690949143142,123
2024-12-18,113,113,0.7770137313436295,0.7853083624012707,2.0088495575221237,227,68,0.7397716186532295,114
2024-12-19,91,91,0.7997485265635388,0.8043610006593702,2.340659340659341,213,81,0.8019735422806997,122
2024-12-20,119,119,0.8041208128014804,0.8088262622394714,1.8991596638655461,226,70,0.7785850392394565,107
2024-12-21,93,93,0.8153667188479922,0.8170935757447361,1.903225806451613,177,62,0.7768737947744426,84
2024-12-22,109,109,0.8218319053243972,0.8275771254684539,2.055045871559633,224,55,0.7956491776838132,115
2024-12-23,88,88,0.8331109393661316,0.8353183775325662,2.215909090909091,195,70,0.8139866371006104,107
2024-12-24,120,120,0.7938354577350624,0.7972194434396632,2.0,240,75,0.7972911135641447,120
2024-12-25,156,156,0.8419738694674285,0.8431325301488776,1.8525641025641026,289,85,0.8181127766833239,133
2024-12-26,90,90,0.8565573671280602,0.8550395893987659,1.9777777777777779,178,57,0.8162699747251667,88
2024-12-27,114,114,0.8026075650045145,0.8050900094673916,1.868421052631579,213,74,0.7969755725500027,99
2024-12-28,126,126,0.8089236169950776,0.8147205747854215,2.8015873015873014,353,102,0.7785825647305649,227
2024-12-29,114,114,0.828527532549972,0.8346189652463457,2.0,228,67,0.7911325076188701,114
2024-12-30,104,104,0.8176946300830324,0.8211042469477956,2.0288461538461537,211,58,0.791209020967908,107
2024-12-31,100,100,0.8652711753809653,0.8688120214177347,1.98,198,64,0.8459239689111694,98
2025-01-01,109,109,0.8453649323571936,0.8462850152521922,2.036697247706422,222,59,0.7958749827378726,113
2025-01-02,123,123,0.7962745208405307,0.8057748448640759,2.4959349593495936,307,95,0.7721573838767882,184
2025-01-03,107,107,0.807895035262061,0.8074897056045355,1.925233644859813,206,52,0.8072354306203307,99
2025-01-04,139,139,0.7748154475149306,0.7793343040589891,2.0215827338129495,281,77,0.7697063132408798,142
2025-01-05,135,135,0.7793345421310612,0.7765362836238823,2.533333333333333,342,87,0.7805402794646314,207
2025-01-06,131,131,0.8186893155594082,0.8217023719369176,2.351145038167939,308,83,0.7752747466585048,177
2025-01-07,104,104,0.7935589363775372,0.7939324877848765,2.730769230769231,284,88,0.7909235632019147,180
2025-01-08,143,143,0.7929116690942581,0.7934885490665894,2.4545454545454546,351,98,0.7585594512065044,208
2025-01-09,105,105,0.822167296144747,0.8249531534074183,2.419047619047619,254,74,0.7874798913449912,149
2025-01-10,119,119,0.799975203019076,0.8085531562446198,2.9243697478991595,348,91,0.769025954073328,229
2025-01-11,112,112,0.8173738943261569,0.8210057577528068,2.1517857142857144,241,74,0.7675521109299567,129
2025-01-12,111,111,0.8101659954724812,0.8133317982028446,2.09009009009009,232,70,0.7913554605417901,121
2025-01-13,116,116,0.8328256371363507,0.8345421845799538,1.9913793103448276,231,67,0.8090275150162265,115
2025-01-14,104,104,0.7991019487768914,0.8092759814295273,2.0865384615384617,217,66,0.7636197409948852,113
2025-01-15,124,124,0.811333852616005,0.8148798128693365,2.3306451612903225,289,73,0.7727538363115944,165
2025-01-16,122,122,0.8113708753602736,0.8164034281102636,1.8770491803278688,229,70,0.7946572998703831,107
2025-01-17,111,111,0.7971808142241551,0.7977473479494953,2.171171171171171,241,85,0.7598678357345471,130
2025-01-18,108,108,0.7871387742636898,0.7921697784010785,2.1481481481481484,232,66,0.7643963399802984,124
2025-01-19,143,143,0.7941027357037255,0.7975662224325085,2.2447552447552446,321,76,0.7904709648736656,178
2025-01-20,132,132,0.8137284938471541,0.8134669925630499,1.8333333333333333,242,60,0.8003601270079327,110
2025-01-21,181,181,0.8077492130990924,0.8086567142070623,1.861878453038674,337,85,0.8034650356313098,156
2025-01-22,148,148,0.7936804204711937,0.7952663445629629,2.108108108108108,312,83,0.7775352923835238,164
2025-01-23,112,112,0.7809187133504604,0.7875205553280632,1.9285714285714286,216,62,0.7440742085682353,104
2025-01-24,114,114,0.778822035386571,0.7770715273081064,2.6140350877192984,298,92,0.7827053141982382,184
2025-01-25,126,126,0.7850927258882731,0.789512932411625,2.357142857142857,297,97,0.7961434103309412,171
2025-01-26,116,116,0.773923641913617,0.7822580908233072,2.413793103448276,280,84,0.749292446423883,164
2025-01-27,109,109,0.7795555484011689,0.7855041792882203,2.532110091743119,276,83,0.7712881070565406,167
2025-01-28,103,103,0.7818940148572061,0.7854760835005505,2.621359223300971,270,82,0.7389732620193312,167
2025-01-29,132,132,0.782149487629118,0.7859102651121058,2.2045454545454546,291,93,0.7805017268326272,159
2025-01-30,114,114,0.8126253637919083,0.8140728686646785,2.3508771929824563,268,76,0.7813756710081918,154
2025-01-31,114,114,0.7708476924661543,0.7788922183090599,2.289473684210526,261,73,0.7528335468814913,147
2025-02-01,117,117,0.806660739051911,0.810738470111593,1.794871794871795,210,69,0.8079493731976892,93
2025-02-02,120,120,0.7959650977510321,0.7985323951388844,1.9666666666666666,236,78,0.7637954753563828,116
2025-02-03,104,104,0.7560640954623448,0.7603079024900462,2.2211538461538463,231,81,0.7305179954351846,127
2025-02-04,145,145,0.8034066443314399,0.8098917832251156,2.331034482758621,338,92,0.7881186381612819,193
2025-02-05,118,118,0.8072294462739721,0.8124775910374762,2.0254237288135593,239,72,0.7918527323684537,121
2025-02-06,107,107,0.799781416298729,0.8041112056395441,2.121495327102804,227,71,0.7681066850060183,120
2025-02-07,116,116,0.7838224775411619,0.7881247660413366,2.1551724137931036,250,82,0.788050006309595,134
2025-02-08,109,109,0.8328826805632233,0.8353408505990647,2.091743119266055,228,56,0.7996624445505932,119
2025-02-09,98,98,0.7915527054314172,0.7937372576959425,2.336734693877551,229,72,0.7643098297661876,131
2025-02-10,88,88,0.7849065152562137,0.7984066486881616,2.227272727272727,196,69,0.7549464753023188,108
2025-02-11,106,106,0.7819064784396672,0.790656939981384,2.207547169811321,234,80,0.7613724291011388,128
2025-02-12,111,111,0.801177451982091,0.803772952683757,2.1621621621621623,240,68,0.7638375451856222,129
2025-02-13,126,126,0.8019398178504689,0.8050135237080969,2.119047619047619,267,80,0.7504442392234711,141
2025-02-14,99,99,0.7489242950108792,0.7493845085786481,1.9898989898989898,197,68,0.7517773008699961,98
2025-02-15,95,95,0.7991295458987642,0.8004260542295292,2.0210526315789474,192,66,0.7765763422846513,97
2025-02-16,119,119,0.7814431853647763,0.7876716096743085,2.4705882352941178,294,81,0.7888260188577367,175
2025-02-17,116,116,0.7770384356694308,0.7780647932090036,2.3017241379310347,267,92,0.7547892071177542,151
2025-02-18,134,134,0.7845341261139793,0.7921874489345792,2.0970149253731343,281,74,0.7637165081714432,147
2025-02-19,154,154,0.7820048852953833,0.7834753733178691,2.292207792207792,353,98,0.76112935708516,199
2025-02-20,135,135,0.7677511457315731,0.7712156604383641,2.533333333333333,342,95,0.7392090027302992,207
2025-02-21,130,130,0.7723084568620828,0.7774384406411174,2.1846153846153844,284,88,0.745539049065315,154
2025-02-22,135,135,0.761225385700118,0.7671366461917489,1.9037037037037037,257,77,0.745725805257247,122
2025-02-23,161,161,0.7996989293033734,0.8029793126273155,2.018633540372671,325,78,0.7958214261249088,164
2025-02-24,152,152,0.7979798536510397,0.8000839128172591,2.1315789473684212,324,87,0.7639405128528148,172
2025-02-25,164,164,0.777948713133396,0.7838464152427095,2.2439024390243905,368,80,0.7602607223187603,204
2025-02-26,149,149,0.7540505046833316,0.7498969175388072,2.3557046979865772,351,94,0.7347916511133027,202
2025-02-27,136,136,0.7915391625117797,0.7994229895093451,2.610294117647059,355,98,0.7707779416124454,219
2025-02-28,146,146,0.8139588829977653,0.8180324699622611,2.0205479452054793,295,79,0.7848556359235135,149
2025-03-01,164,164,0.7706869261237576,0.7761359807414033,2.091463414634146,343,97,0.7401314821982756,179
2025-03-02,216,216,0.7982550913008476,0.7997893789600312,1.9490740740740742,421,99,0.7794500117471629,205
2025-03-03,173,173,0.7821135424661143,0.7801711013716259,2.1098265895953756,365,84,0.743992147814789,192
2025-03-04,147,147,0.7959340051187583,0.7992084066368729,2.1904761904761907,322,101,0.7788693939565309,175
2025-03-05,142,142,0.797185964604255,0.8001948474678666,2.0,284,87,0.79095243856371,142
2025-03-06,128,128,0.7908871981945589,0.7918272608918929,2.0859375,267,79,0.7854612167987525,139
2025-03-07,169,169,0.8053678408575298,0.8108566842831303,1.9112426035502958,323,101,0.793400618243389,154
2025-03-08,140,140,0.8165324221759579,0.821106123838745,1.8857142857142857,264,67,0.7862198732934086,124
2025-03-09,146,146,0.7962475150744109,0.8025564717483777,2.1780821917808217,318,87,0.7823870142596324,172
2025-03-10,112,112,0.8155667406820708,0.8194120958200898,1.9375,217,61,0.7920779733998257,105
2025-03-11,129,129,0.7841173842601706,0.791613380885627,2.3488372093023258,303,78,0.7775190369555647,174
2025-03-12,151,151,0.812937881625888,0.8143337945439809,1.880794701986755,284,96,0.7721730647165878,133
2025-03-13,124,124,0.7985263902943531,0.8050819178868982,2.6451612903225805,328,93,0.7760129249226949,204
2025-03-14,119,119,0.821755167879609,0.822790746149982,2.0840336134453783,248,76,0.7956163292346025,129
2025-03-15,141,141,0.811346938641569,0.8127302191299945,2.049645390070922,289,74,0.7840587881998805,148
2025-03-16,122,122,0.7888204368418191,0.7891261190626585,2.221311475409836,271,87,0.7442145550051881,149
2025-03-17,98,98,0.7097494170753151,0.7223807295816964,2.3469387755102042,230,76,0.6980685758154542,132
2025-03-18,128,128,0.7799176326224273,0.780754225793372,2.125,272,90,0.7520000387608564,144
