video_date,poi_id,poi_name,poi_cate,author_region,journey_n,stop_n,avg_stop_sentiment
2023-01-22,974.0,Wesleyan House,Religious,PH,1,1,0.12144024670124054
2023-01-23,101.0,Central,area,PH,1,1,0.7232078313827515
2023-01-26,300.0,Hong Kong International Airport,Transit,US,1,1,0.5288511365652084
2023-01-28,180.0,Disney's Hollywood Hotel,Hotel,PH,1,1,0.9162896573543549
2023-01-28,296.0,Hong Kong Disneyland,Entertainment,PH,1,3,0.7952156920736241
2023-01-28,300.0,Hong Kong International Airport,Transit,PH,1,1,0.8511746525764465
2023-01-28,975.0,West Kowloon,area,PH,1,1,0.058091163635253906
2023-01-29,296.0,Hong Kong Disneyland,Entertainment,PH,1,1,0.9419023791948954
2023-01-31,300.0,Hong Kong International Airport,Transit,US,1,1,0.023292403668165207
2023-01-31,817.0,Tai Tam,area,US,1,1,0.9229393601417542
2023-02-01,293.0,Hong Kong Convention and Exhibition Centre,Cityscape,US,1,1,0.6747488677501678
2023-02-01,946.0,Victoria Peak,Cityscape,US,1,1,0.8421834707260132
2023-02-02,123.0,Cheung Hing Kee Shanghai Pan Fried Buns,Dining,SG,1,1,0.8121916651725769
2023-02-03,1010.0,Yat Lok Restaurant,Dining,SG,1,1,0.03221463784575462
2023-02-05,946.0,Victoria Peak,Cityscape,JP,1,1,0.9323285222053528
2023-02-06,101.0,Central,area,CO,1,1,0.569607213139534
2023-02-06,289.0,Hoi Ping Rd,Cityscape,US,1,1,0.6684854626655579
2023-02-06,300.0,Hong Kong International Airport,Transit,SG,1,1,0.917860597372055
2023-02-06,460.0,Lei Yue Mun,area,US,1,1,0.664144386847814
2023-02-07,96.0,Causeway Bay,area,ID,1,1,0.47091612219810486
2023-02-07,296.0,Hong Kong Disneyland,Entertainment,ID,2,2,0.9479532092809677
2023-02-07,375.0,Kam Wah Cake Shop,Dining,US,1,1,0.7580707371234894
2023-02-09,946.0,Victoria Peak,Cityscape,KW,1,1,0.8531130403280258
2023-02-11,300.0,Hong Kong International Airport,Transit,PH,1,1,0.18080548722563045
2023-02-11,444.0,Lamma Island,Natural,US,1,1,0.7449066605832841
2023-02-11,543.0,Mong Kok Night Market,Shopping,AU,1,1,0.9732853174209595
2023-02-11,793.0,Tai Cheong Bakery,Dining,SG,1,1,0.8962568044662476
2023-02-11,907.0,Tsim Sha Tsui,area,AU,1,1,0.9744818210601807
2023-02-12,446.0,Lan Fong Yuen,Dining,US,1,1,0.5511554479598999
2023-02-13,17.0,Adventureland,Entertainment,ID,1,1,0.9509389400482178
2023-02-13,101.0,Central,area,PH,1,1,0.1855909824371338
2023-02-13,198.0,East Tsim Sha Tsui,Transit,PH,1,1,0.015952594578266144
2023-02-13,296.0,Hong Kong Disneyland,Entertainment,ID,1,3,0.8850116631067486
2023-02-13,296.0,Hong Kong Disneyland,Entertainment,SG,1,4,0.8665125533938408
2023-02-13,301.0,Hong Kong Island,Natural,PH,1,1,0.1501268744468689
2023-02-13,560.0,Mystic Manor,Entertainment,ID,1,1,0.2694147303700447
2023-02-13,598.0,Ocean Park,Entertainment,SG,1,4,0.8525394834578037
2023-02-13,856.0,The Hong Kong Polytechnic University,School,PH,1,1,0.5567639470100403
2023-02-13,898.0,Toy Story Land,Entertainment,ID,1,1,0.9508820176124573
2023-02-14,300.0,Hong Kong International Airport,Transit,PH,1,1,0.2404411039315164
2023-02-14,791.0,THE MATCHA TOKYO,Dining,PH,1,1,0.8549284934997559
2023-02-14,874.0,The Peninsula,Hotel,PH,1,1,0.04476410150527954
2023-02-14,874.0,The Peninsula,Hotel,TW,1,1,0.9348098635673523
2023-02-14,944.0,Victoria Harbour,Cityscape,PH,1,1,0.8512502312660217
2023-02-14,944.0,Victoria Harbour,Cityscape,TW,1,1,0.8504214286804199
2023-02-15,31.0,Arte M,Cultural,AU,1,1,0.9115358591079712
2023-02-15,197.0,East Coast Park Precinct,Cityscape,AU,1,1,0.9228166739145914
2023-02-15,300.0,Hong Kong International Airport,Transit,US,1,1,0.9029662211736044
2023-02-15,546.0,Monster Building,Cityscape,AU,1,1,0.4025682459274928
2023-02-16,101.0,Central,area,ID,1,1,0.567171573638916
2023-02-16,307.0,Hong Kong Observation Wheel,Entertainment,ID,1,1,0.6878539721171061
2023-02-17,300.0,Hong Kong International Airport,Transit,PH,1,1,0.5627053815871477
2023-02-19,300.0,Hong Kong International Airport,Transit,PH,1,1,0.22154313325881958
2023-02-19,733.0,Sky 100,Cityscape,PH,1,1,0.21032395958900452
2023-02-19,944.0,Victoria Harbour,Cityscape,PH,1,2,0.8584527373313904
2023-02-19,946.0,Victoria Peak,Cityscape,PH,1,1,0.8746913075447083
2023-02-19,1042.0,iSQUARE,Shopping,PH,1,1,0.2347366362810135
2023-02-20,300.0,Hong Kong International Airport,Transit,PH,1,1,0.36252912878990173
2023-02-21,46.0,Bakehouse (Wan Chai),Dining,MY,1,1,0.7097209493319193
2023-02-21,451.0,Lantau Island,Natural,GB,1,1,0.763170599937439
2023-02-21,580.0,Ngong Ping 360,Entertainment,GB,1,1,0.8970597982406616
2023-02-21,598.0,Ocean Park,Entertainment,GB,1,1,0.6819905837376913
2023-02-22,96.0,Causeway Bay,area,GB,1,1,0.8776265382766724
2023-02-22,872.0,The Peak Tower,Cityscape,ID,1,1,0.9516631364822388
2023-02-22,946.0,Victoria Peak,Cityscape,ID,1,2,0.7012235969305038
2023-02-23,101.0,Central,area,PH,1,1,0.4450957395136356
2023-02-23,296.0,Hong Kong Disneyland,Entertainment,PH,1,1,0.8557544946670532
2023-02-23,300.0,Hong Kong International Airport,Transit,GB,1,1,0.5046584010124207
2023-02-23,430.0,Kwun Yum Temple,Religious,PH,1,1,0.9381142258644104
2023-02-23,448.0,Lan Kwai Fong,Cultural,PH,1,1,0.9518129229545593
2023-02-23,540.0,Mong Kok,area,PH,1,1,0.611061554402113
2023-02-23,579.0,Ngong Ping,area,PH,1,1,0.5503370761871338
2023-02-23,580.0,Ngong Ping 360,Entertainment,PH,1,2,0.7028591521084309
2023-02-23,584.0,Ngong Ping Village,Cultural,PH,1,1,0.8598996996879578
2023-02-23,785.0,Sushi Masa,Dining,GB,1,1,0.8947747349739075
2023-02-23,907.0,Tsim Sha Tsui,area,PH,1,1,0.7101002857089043
2023-02-24,303.0,Hong Kong Macau Ferry Terminal,Transit,NZ,1,1,0.5607753992080688
2023-02-24,444.0,Lamma Island,Natural,NZ,1,1,0.913967490196228
2023-02-24,465.0,Lion Rock,Outdoor,NZ,1,1,0.8492903411388397
2023-02-24,502.0,Mak Man Kee Noodle Shop,Dining,MY,1,1,0.5531536340713501
2023-02-24,944.0,Victoria Harbour,Cityscape,NZ,1,1,0.5994700193405151
2023-02-24,1035.0,Yuen Po Street Bird Garden,Cityscape,NZ,1,1,0.859308123588562
2023-02-25,3.0,1881 Heritage,Shopping,GB,1,1,0.07619162648916245
2023-02-25,101.0,Central,area,GB,1,1,0.9283289909362793
2023-02-25,251.0,Granville Rd,Cityscape,PH,1,1,0.29591894149780273
2023-02-25,271.0,Harbour City,Shopping,PH,1,1,0.20269536972045898
2023-02-25,289.0,Hoi Ping Rd,Cityscape,SG,1,1,0.14999112486839294
2023-02-25,296.0,Hong Kong Disneyland,Entertainment,PH,1,1,0.905106802781423
2023-02-25,300.0,Hong Kong International Airport,Transit,PH,2,3,0.4469784503891354
2023-02-25,317.0,Hong Kong Station,Transit,PH,1,1,0.1377154141664505
2023-02-25,344.0,ICHIRAN,Dining,PH,1,1,0.5937100518494844
2023-02-25,366.0,Kai Kai Dessert,Dining,MY,1,1,0.8190528750419617
2023-02-25,540.0,Mong Kok,area,PH,1,1,0.6226462721824646
2023-02-25,540.0,Mong Kok,area,TW,1,1,0.4831678122282028
2023-02-25,735.0,Sky City Interchange,Transit,PH,1,1,0.8324352502822876
2023-02-25,860.0,The Kimberley Hotel,Hotel,PH,1,1,0.09566770493984222
2023-02-25,907.0,Tsim Sha Tsui,area,GB,1,1,0.5885745286941528
2023-02-25,907.0,Tsim Sha Tsui,area,PH,1,1,0.717334121465683
2023-02-25,913.0,Tsing Ma Bridge,Cityscape,PH,1,1,0.7703810334205627
2023-02-25,944.0,Victoria Harbour,Cityscape,TW,1,1,0.886975109577179
2023-02-25,1001.0,World Trade Centre,Cityscape,PH,1,1,0.9569635987281799
2023-02-26,101.0,Central,area,PH,1,1,0.31329826017220813
2023-02-26,296.0,Hong Kong Disneyland,Entertainment,PH,1,2,0.6783578655658624
2023-02-26,303.0,Hong Kong Macau Ferry Terminal,Transit,AU,1,1,0.49145383238792417
2023-02-26,364.0,K11 MUSEA,Shopping,GB,1,1,0.20735600590705872
2023-02-26,364.0,K11 MUSEA,Shopping,PH,1,2,0.6961326003074646
2023-02-26,403.0,Korean Inn Restaurant,Dining,GB,1,1,0.8851762413978577
2023-02-26,494.0,Madame Tussauds,Cultural,PH,1,1,0.7676181793212891
2023-02-26,733.0,Sky 100,Cityscape,PH,1,1,0.814910352230072
2023-02-26,873.0,The Peak Tram,Entertainment,PH,1,1,0.11768104135990143
2023-02-26,874.0,The Peninsula,Hotel,PH,1,1,0.9526406526565552
2023-02-26,907.0,Tsim Sha Tsui,area,PH,1,1,0.023518485948443413
2023-02-26,910.0,Tsim Sha Tsui Promenade,Cityscape,PH,1,1,0.0237782821059227
2023-02-26,925.0,Tung Chung,area,PH,1,1,0.1913425624370575
2023-02-26,944.0,Victoria Harbour,Cityscape,PH,1,3,0.4982218071818352
2023-02-26,946.0,Victoria Peak,Cityscape,PH,2,4,0.8416482955217361
2023-02-26,1001.0,World Trade Centre,Cityscape,GB,1,1,0.8286940455436707
2023-02-27,96.0,Causeway Bay,area,GB,1,1,0.9645368456840515
2023-02-27,101.0,Central,area,NZ,1,1,0.850159764289856
2023-02-27,101.0,Central,area,PH,1,1,0.5517861247062683
2023-02-27,300.0,Hong Kong International Airport,Transit,PH,1,1,0.22269438207149506
2023-02-27,310.0,Hong Kong Park,Cityscape,NZ,1,1,0.9409989714622498
2023-02-27,366.0,Kai Kai Dessert,Dining,US,1,1,0.8602051734924316
2023-02-27,404.0,Kowloon,area,GB,1,2,0.7892451286315918
2023-02-27,441.0,Lai King,area,PH,1,1,0.43512600660324097
2023-02-27,451.0,Lantau Island,Natural,PH,1,1,0.9313119351863861
2023-02-27,567.0,Nathan Rd,Cityscape,GB,1,1,0.11707966029644012
2023-02-27,580.0,Ngong Ping 360,Entertainment,PH,1,1,0.6189732402563095
2023-02-27,618.0,Peking Garden,Dining,PH,1,1,0.9173356294631958
2023-02-27,629.0,Po Lin Monastery,Religious,PH,1,1,0.9279831647872925
2023-02-27,675.0,SOGO,Shopping,MY,1,1,0.8638360500335693
2023-02-27,868.0,The One Bakery,Dining,GB,1,1,0.5430976152420044
2023-02-27,873.0,The Peak Tram,Entertainment,PH,1,1,0.8712976574897766
2023-02-27,925.0,Tung Chung,area,PH,1,1,0.17545856535434723
2023-02-27,946.0,Victoria Peak,Cityscape,MY,1,1,0.8102225661277771
2023-02-27,989.0,Wo Foo Commercial Building,Cityscape,GB,1,1,0.7471106648445129
2023-02-27,1014.0,Yau Ma Tei Jade Hawker Bazaar,Shopping,GB,1,1,0.8818386197090149
2023-02-28,296.0,Hong Kong Disneyland,Entertainment,PH,1,1,0.9084471762180328
2023-02-28,296.0,Hong Kong Disneyland,Entertainment,US,1,1,0.9230397343635559
2023-02-28,300.0,Hong Kong International Airport,Transit,PH,1,2,0.23941472337129666
2023-02-28,324.0,Hong Kong-Zhuhai-Macao Bridge,Cityscape,PH,1,1,0.845140814781189
