video_date,poi_cate,journey_n,stop_n,avg_stop_sentiment
2023-02-26,Entertainment,2,3,0.4914655908305421
2023-02-26,Hotel,1,1,0.9526406526565552
2023-02-26,Shopping,2,3,0.5332070688406626
2023-02-26,Transit,1,1,0.49145383238792417
2023-02-26,area,3,3,0.17605310285256967
2023-02-27,Cityscape,3,4,0.653852965682745
2023-02-27,Dining,3,3,0.7735461393992106
2023-02-27,Entertainment,1,2,0.7451354488730431
2023-02-27,Natural,1,1,0.9313119351863861
2023-02-27,Religious,1,1,0.9279831647872925
2023-02-27,Shopping,2,2,0.8728373348712921
2023-02-27,Transit,1,1,0.22269438207149506
2023-02-27,area,3,7,0.6507939377001354
2023-02-28,Cityscape,2,3,0.7063683867454529
2023-02-28,Dining,2,2,0.6632358580827713
2023-02-28,Entertainment,2,2,0.9157434552907944
2023-02-28,Transit,1,2,0.23941472337129666
2023-03-01,Cultural,1,1,0.890951931476593
2023-03-01,Shopping,1,1,0.9496557116508484
2023-03-01,Transit,2,2,0.8706658780574799
2023-03-01,area,1,1,0.012720176950097084
2023-03-02,Cultural,1,1,0.8609627485275269
2023-03-03,Cityscape,1,1,0.9574412405490875
2023-03-03,Dining,1,2,0.793162152171135
2023-03-03,Shopping,1,1,0.8406098484992981
2023-03-03,area,2,3,0.6596357723077139
2023-03-04,Cityscape,1,1,0.4342077076435089
2023-03-04,Entertainment,2,2,0.7905001044273376
2023-03-04,Natural,1,2,0.828058530886968
2023-03-05,Cityscape,1,1,0.9009285569190979
2023-03-05,Cultural,1,1,0.9314579963684082
2023-03-05,Entertainment,1,2,0.949870690703392
2023-03-05,Outdoor,1,1,0.03654961660504341
2023-03-05,Religious,1,2,0.5611250102519989
2023-03-05,Shopping,1,1,0.01162815187126398
2023-03-05,Transit,1,1,0.10901332646608353
2023-03-06,Cityscape,2,2,0.8477355390787125
2023-03-06,Entertainment,1,1,0.9686400353908539
2023-03-06,Hotel,1,1,0.9754030704498291
2023-03-07,Cityscape,3,3,0.8163465857505798
2023-03-07,Cultural,1,1,0.15490135550498962
2023-03-07,Dining,1,2,0.5972521118819714
2023-03-07,Entertainment,1,1,0.8927779793739319
2023-03-07,Natural,1,4,0.879527340332667
2023-03-07,Religious,2,3,0.8096168835957845
2023-03-07,Shopping,1,1,0.8515551686286926
2023-03-07,Transit,1,1,0.7737151980400085
2023-03-07,area,2,4,0.6264201030135155
2023-03-08,Hotel,1,1,0.9331429600715637
2023-03-08,area,1,1,0.05283178761601448
2023-03-09,Cityscape,4,5,0.6574849881231785
2023-03-09,Entertainment,1,3,0.1832374291760581
2023-03-09,Hotel,1,1,0.48198718950152397
2023-03-09,Natural,2,2,0.9349177181720734
2023-03-09,Shopping,1,1,0.9073856472969055
2023-03-09,Transit,3,6,0.2814313843070219
2023-03-09,area,2,3,0.6704487154881159
2023-03-10,Entertainment,2,2,0.9036501348018646
2023-03-10,Natural,1,1,0.6092692414919535
2023-03-10,Shopping,1,1,0.41578763723373413
2023-03-10,Transit,2,2,0.8291663825511932
2023-03-10,area,2,2,0.3636036366224289
2023-03-11,Cityscape,5,7,0.6591888747044973
2023-03-11,Cultural,2,2,0.08786956407129765
2023-03-11,Dining,2,2,0.8810638785362244
2023-03-11,Entertainment,2,3,0.7439000482360522
2023-03-11,Hotel,1,1,0.8704908490180969
2023-03-11,Natural,3,6,0.8529900709788004
2023-03-11,Outdoor,1,1,0.7844825387001038
2023-03-11,Religious,2,2,0.8839767426252365
2023-03-11,Transit,1,1,0.25588008264700574
2023-03-11,area,3,4,0.6293856129050255
2023-03-12,Cityscape,2,4,0.8124434947967529
2023-03-12,Entertainment,1,1,0.9656482934951782
2023-03-12,Natural,1,2,0.8752814829349518
2023-03-12,Religious,1,3,0.5694231713811556
2023-03-12,area,1,1,0.9306091070175171
2023-03-13,Cityscape,2,7,0.7988992198592141
2023-03-13,Cultural,1,1,0.018458575010299683
2023-03-13,Dining,1,1,0.8959562182426453
2023-03-13,Entertainment,3,22,0.7237522182366267
2023-03-13,Natural,1,1,0.5608499646186829
2023-03-13,Transit,2,3,0.6881100038687388
2023-03-13,area,1,4,0.8162982085098823
2023-03-14,Cityscape,2,2,0.8421585559844971
2023-03-14,Dining,2,2,0.8130639791488647
2023-03-14,Natural,1,1,0.6837418079376221
2023-03-14,Shopping,1,1,0.09630652517080307
2023-03-14,Transit,1,1,0.23509682507978547
2023-03-14,area,1,1,0.7696470618247986
2023-03-16,Entertainment,1,1,0.8905546532736884
2023-03-17,Natural,1,1,0.9372469782829285
2023-03-17,Shopping,1,1,0.7478065490722656
2023-03-17,area,1,1,0.056030821055173874
2023-03-18,Entertainment,1,1,0.9137507677078247
2023-03-19,Sport,1,1,0.15579934418201447
2023-03-19,area,1,1,0.8229968547821045
2023-03-20,Dining,1,1,0.3068622052669525
2023-03-20,area,1,1,0.06826896220445633
2023-03-21,Cityscape,1,1,0.7999833822250366
2023-03-21,Cultural,1,1,0.7016057769457499
2023-03-21,Entertainment,3,3,0.9116499287386736
2023-03-21,Hotel,2,5,0.868644517660141
2023-03-21,Transit,2,2,0.3235225608572364
2023-03-21,area,1,1,0.8206761479377747
2023-03-22,Dining,1,1,0.9216552674770355
2023-03-22,Entertainment,1,1,0.8673146367073059
2023-03-22,Hotel,1,1,0.9017641544342041
2023-03-22,Transit,1,1,0.9119220972061157
2023-03-22,area,1,2,0.8875278830528259
2023-03-23,Cityscape,1,1,0.9290729761123657
2023-03-23,Dining,1,2,0.8225582614541054
2023-03-24,Entertainment,1,1,0.9433610439300537
2023-03-24,Hotel,1,3,0.48931081344683963
2023-03-24,area,1,1,0.8766148686408997
2023-03-25,Cityscape,1,1,0.5694600343704224
2023-03-25,Transit,1,1,0.2972743809223175
2023-03-26,Cityscape,1,1,0.5530707240104675
2023-03-26,Entertainment,1,2,0.9251375330819024
2023-03-26,Natural,1,1,0.9277558922767639
2023-03-26,Religious,1,1,0.6877941489219666
2023-03-26,Transit,1,1,0.35886603593826294
2023-03-26,area,1,1,0.7804792523384094
2023-03-27,Cultural,2,2,0.5599175095558167
2023-03-27,Dining,2,4,0.6143596206481258
2023-03-27,Entertainment,1,2,0.9108744266960356
2023-03-27,Transit,2,2,0.5206401953473687
2023-03-28,Cityscape,1,1,0.9341526627540588
2023-03-28,Cultural,1,1,0.7415812015533447
2023-03-28,Dining,1,3,0.5674462964137396
2023-03-28,Transit,2,2,0.7218444775789976
2023-03-28,area,2,4,0.8712922632694244
2023-03-29,Transit,1,1,0.3536521904170513
2023-03-30,Cityscape,1,2,0.9109220504760742
2023-03-30,Cultural,1,1,0.7863884369532267
2023-03-30,Dining,1,1,0.8538298606872559
2023-03-30,Hotel,1,1,0.30079516768455505
2023-03-30,Transit,2,4,0.5762443672865629
2023-03-31,Cityscape,1,2,0.738091379404068
2023-03-31,Entertainment,2,2,0.9149040877819061
2023-03-31,Religious,1,3,0.7400219374232822
2023-03-31,area,1,1,0.9334914684295654
2023-04-01,Entertainment,2,2,0.9436105489730835
2023-04-01,Religious,1,1,0.7234774231910706
2023-04-01,Shopping,1,1,0.8733943104743958
2023-04-02,Cityscape,5,9,0.5971424903513657
2023-04-02,Cultural,5,7,0.5209640668971198
2023-04-02,Dining,6,15,0.7956007791890038
2023-04-02,Entertainment,1,1,0.9491110940774282
2023-04-02,Hotel,3,4,0.5273617152124643
2023-04-02,Natural,2,2,0.8792273104190826
2023-04-02,Religious,1,2,0.9201915860176086
2023-04-02,Shopping,2,4,0.7282484620809555
2023-04-02,Transit,3,3,0.7019981940587362
2023-04-02,area,4,6,0.6929584592580795
2023-04-03,Cityscape,1,1,0.2059587836265564
2023-04-03,Dining,1,1,0.8525553345680237
2023-04-03,area,1,1,0.2561109662055969
2023-04-04,Dining,1,2,0.9577500969171524
2023-04-04,Entertainment,1,2,0.7859278056238379
2023-04-04,Transit,2,2,0.8107336461544037
2023-04-04,area,1,1,0.22872188687324524
2023-04-05,Cityscape,1,2,0.43707253504544497
2023-04-05,Hotel,1,1,0.913550615310669
2023-04-05,Transit,1,1,0.3339408743195236
2023-04-06,Cityscape,1,1,0.8178940415382385
2023-04-06,Hotel,1,1,0.15514035522937775
2023-04-06,Natural,1,1,0.9424583911895752
2023-04-06,Transit,1,1,0.057036612182855606
2023-04-06,area,1,1,0.8214223384857178
2023-04-07,Hotel,1,1,0.9367702603340149
2023-04-07,area,1,1,0.07656895369291306
2023-04-08,Shopping,2,2,0.6028152704238892
2023-04-08,Transit,2,4,0.43092378973960876
2023-04-08,area,1,1,0.9334268569946289
2023-04-09,Cityscape,2,2,0.8653845191001892
2023-04-09,Entertainment,1,1,0.8874610662460327
2023-04-10,Cultural,3,6,0.7556805435982015
2023-04-10,Dining,2,3,0.7809378306070963
2023-04-10,Entertainment,5,7,0.9232274372741659
2023-04-10,Hotel,1,1,0.8070955872535706
2023-04-10,Natural,3,6,0.8694938868284225
2023-04-10,Religious,2,2,0.6937815696001053
2023-04-10,Shopping,2,2,0.3321513558427493
2023-04-10,Transit,2,3,0.32502443095048267
2023-04-10,area,3,3,0.6603812972704569
2023-04-11,Dining,1,2,0.7301273196935654
2023-04-11,Entertainment,1,2,0.7829657316207885
2023-04-11,Religious,1,1,0.6646667122840881
2023-04-11,Shopping,1,2,0.7782642804086208
2023-04-11,area,1,1,0.5103809833526611
2023-04-12,Cityscape,3,4,0.49894234957173467
2023-04-12,Entertainment,1,1,0.8967248201370239
2023-04-12,Hotel,1,1,0.9168247580528259
2023-04-12,Religious,2,2,0.7068139351904392
2023-04-12,Shopping,1,1,0.8402082622051239
2023-04-13,Cityscape,1,1,0.9051322340965271
2023-04-13,Entertainment,2,3,0.8400791817241244
2023-04-13,Transit,1,1,0.06121345981955528
2023-04-14,area,1,1,0.38589930534362793
2023-04-15,Hotel,1,1,0.7921044826507568
2023-04-16,Cityscape,1,1,0.32258614897727966
2023-04-16,Cultural,1,1,0.13650080561637878
2023-04-16,Natural,1,2,0.565539263188839
2023-04-16,Outdoor,1,1,0.8753600120544434
2023-04-16,Shopping,2,2,0.46403929591178894
2023-04-16,Transit,1,1,0.5131824612617493
2023-04-16,area,2,3,0.7353881200154623
2023-04-17,Cityscape,1,1,0.9272278547286987
2023-04-17,Entertainment,1,3,0.8410805149210824
2023-04-17,Shopping,1,1,0.8382447957992554
2023-04-19,Entertainment,3,3,0.8600473093800246
2023-04-19,Shopping,1,2,0.8706445793310802
2023-04-20,Cityscape,1,1,0.9207233190536499
2023-04-20,Dining,1,2,0.6659009605646133
2023-04-20,Entertainment,1,1,0.9682513356208802
2023-04-21,Cityscape,1,1,0.8845906853675842
2023-04-21,Cultural,1,1,0.8789284229278564
2023-04-21,Shopping,1,2,0.6854041814804077
2023-04-22,Cityscape,3,4,0.7101248167455196
2023-04-22,Cultural,1,1,0.8918600678443909
2023-04-22,Dining,2,2,0.24378862977027893
2023-04-22,Entertainment,1,6,0.7030864336098043
2023-04-22,Natural,1,1,0.8491566777229309
2023-04-22,Shopping,1,1,0.8454144597053528
2023-04-22,Transit,2,2,0.41925455816090107
2023-04-22,area,1,1,0.8574605584144592
2023-04-23,Cityscape,3,4,0.7356549104054769
2023-04-23,Entertainment,2,2,0.9269991099834443
2023-04-23,Hotel,1,1,0.1356848031282425
2023-04-23,Transit,1,1,0.10615379363298416
2023-04-23,area,3,3,0.6865261495113373
2023-04-24,Dining,1,2,0.6184567794203758
2023-04-25,Cityscape,1,1,0.8348017036914825
2023-04-26,Cultural,1,1,0.8818681240081787
2023-04-26,Entertainment,1,1,0.9543565511703491
2023-04-27,Dining,1,1,0.7937557101249695
2023-04-27,Entertainment,1,1,0.9649991989135742
2023-04-27,Natural,1,2,0.9546007215976715
2023-04-27,Outdoor,1,3,0.6671751936276754
2023-04-27,Transit,1,1,0.36473485579093295
2023-04-29,Cityscape,1,2,0.8709654211997986
2023-04-29,Entertainment,2,4,0.804222859442234
2023-04-29,Natural,2,3,0.9167747100194296
2023-04-29,Religious,1,1,0.8801959753036499
2023-04-29,Shopping,1,1,0.5779561996459961
2023-04-29,area,1,2,0.5725200027227402
2023-04-30,Cityscape,1,2,0.8582457005977631
2023-04-30,Dining,2,4,0.8619208772977194
2023-04-30,Entertainment,2,2,0.7010588317810158
2023-04-30,area,1,1,0.299684077501297
2023-05-01,Cityscape,1,1,0.952003538608551
2023-05-01,Dining,1,3,0.8185622493426005
2023-05-01,Entertainment,1,5,0.8636117508014044
2023-05-01,Hotel,1,1,0.312278953846544
2023-05-01,Natural,1,1,0.8599801063537598
2023-05-01,Outdoor,1,2,0.7520816624164581
2023-05-01,Shopping,1,1,0.9130301475524902
2023-05-01,Transit,2,2,0.08906328305602074
2023-05-01,area,1,4,0.7225061431527138
2023-05-02,Cityscape,1,2,0.8644032776355743
2023-05-02,Dining,1,2,0.681401714682579
2023-05-02,Entertainment,2,2,0.9341621994972229
2023-05-02,Natural,2,2,0.9055155813694
2023-05-02,Outdoor,1,2,0.7268809676170349
2023-05-02,Religious,1,1,0.32797330617904663
2023-05-02,Transit,3,3,0.5341794489381405
2023-05-03,Cityscape,3,4,0.6899679941125214
2023-05-03,Cultural,1,1,0.7559115886688232
2023-05-03,Dining,1,1,0.6544678211212158
2023-05-03,Entertainment,2,3,0.902213109864129
2023-05-03,Natural,1,1,0.008466786704957485
2023-05-03,Shopping,1,1,0.8553302884101868
2023-05-03,Transit,2,3,0.4167399437477191
2023-05-03,area,1,1,0.6698816865682602
2023-05-04,Dining,1,1,0.9467692971229553
2023-05-04,Entertainment,3,3,0.8358324937748186
2023-05-04,Hotel,1,1,0.9660338163375854
2023-05-05,Cityscape,1,2,0.4377235099673271
2023-05-05,Cultural,1,1,0.5728998109698296
2023-05-05,Dining,1,1,0.8009110689163208
2023-05-05,Entertainment,1,1,0.9601716637611389
2023-05-05,Religious,1,1,0.9139439463615417
2023-05-05,area,2,2,0.6905756741762161
2023-05-06,Dining,1,1,0.49530260264873505
2023-05-06,Religious,1,1,0.9382403492927551
2023-05-06,Shopping,1,1,0.4812462031841278
2023-05-06,Transit,1,1,0.6722138524055481
2023-05-06,area,1,1,0.9733806252479553
2023-05-07,Entertainment,3,9,0.8153203510920758
2023-05-07,Shopping,1,1,0.24115915596485138
2023-05-08,Cityscape,1,1,0.2073739618062973
2023-05-08,Cultural,1,2,0.6657649278640747
2023-05-08,Entertainment,1,2,0.7506588697433472
2023-05-09,Dining,1,2,0.8067864775657654
2023-05-09,Shopping,1,1,0.9272710084915161
2023-05-10,Hotel,1,1,0.1235489547252655
2023-05-10,Natural,1,2,0.8424239456653595
2023-05-10,Religious,2,2,0.5940357893705368
2023-05-10,Shopping,3,3,0.5310961802800497
2023-05-10,Transit,1,1,0.349323071539402
2023-05-10,area,2,2,0.8134374618530273
2023-05-11,Cityscape,2,2,0.7604053914546967
2023-05-11,Entertainment,2,3,0.9283055424690246
2023-05-11,Hotel,1,1,0.5799476951360703
