video_date,origin_poi_cate,dest_poi_cate,flow_n
2023-04-16,area,Natural,1
2023-04-16,area,Shopping,1
2023-04-17,Cityscape,Entertainment,1
2023-04-17,Entertainment,Cityscape,1
2023-04-17,Entertainment,Entertainment,1
2023-04-17,Shopping,Entertainment,1
2023-04-19,Shopping,Shopping,1
2023-04-20,Cityscape,Dining,1
2023-04-20,Dining,Dining,1
2023-04-21,Cultural,Shopping,1
2023-04-21,Shopping,Cultural,1
2023-04-22,Cityscape,Entertainment,1
2023-04-22,Cityscape,Natural,1
2023-04-22,Cultural,Dining,1
2023-04-22,Dining,Cityscape,1
2023-04-22,Dining,area,1
2023-04-22,Entertainment,Cityscape,2
2023-04-22,Entertainment,Cultural,1
2023-04-22,Entertainment,Entertainment,3
2023-04-22,Natural,Entertainment,1
2023-04-22,Shopping,Transit,1
2023-04-22,Transit,Dining,1
2023-04-22,area,Shopping,1
2023-04-23,Cityscape,Cityscape,1
2023-04-23,Cityscape,area,2
2023-04-23,Transit,area,1
2023-04-23,area,Cityscape,1
2023-04-23,area,Entertainment,1
2023-04-24,Dining,Dining,1
2023-04-26,Entertainment,Cultural,1
2023-04-27,Natural,Natural,1
2023-04-27,Natural,Outdoor,1
2023-04-27,Outdoor,Outdoor,1
2023-04-27,Outdoor,Transit,1
2023-04-27,Transit,Natural,1
2023-04-29,Cityscape,Entertainment,2
2023-04-29,Entertainment,Cityscape,1
2023-04-29,Entertainment,Natural,1
2023-04-29,Entertainment,area,1
2023-04-29,Natural,Entertainment,1
2023-04-29,Natural,Religious,1
2023-04-29,Natural,area,1
2023-04-29,Religious,Cityscape,1
2023-04-29,area,Natural,1
2023-04-30,Cityscape,Dining,2
2023-04-30,Dining,Dining,1
2023-04-30,Dining,area,1
2023-04-30,Entertainment,Cityscape,1
2023-04-30,area,Cityscape,1
2023-05-01,Cityscape,area,1
2023-05-01,Dining,Dining,2
2023-05-01,Dining,area,1
2023-05-01,Entertainment,Entertainment,4
2023-05-01,Natural,Outdoor,1
2023-05-01,Outdoor,Outdoor,1
2023-05-01,Shopping,area,1
2023-05-01,area,Cityscape,1
2023-05-01,area,Dining,1
2023-05-01,area,Shopping,1
2023-05-02,Cityscape,Outdoor,1
2023-05-02,Dining,Religious,1
2023-05-02,Entertainment,Natural,1
2023-05-02,Entertainment,Transit,1
